zipcode,property_count,median_total_assessed_value,owner_occupancy_eligible,owner_occupied_count,owner_occupied_pct,reported_case_count,reported_open_backlog,reported_closed_case_count,reported_closed_with_valid_duration,reported_closed_sla_eligible,reported_closed_on_time_count,reported_median_resolution_days,reported_closed_on_time_pct,resolved_case_count,resolved_open_backlog,resolved_closed_case_count,resolved_closed_with_valid_duration,resolved_closed_sla_eligible,resolved_closed_on_time_count,resolved_median_resolution_days,resolved_closed_on_time_pct,knn_added_case_count,resolution_days_delta_from_knn,closed_on_time_pct_delta_from_knn,included_in_reported_comparison,included_in_resolved_comparison
02026,4.000000,647300.000000,4.000000,4,1.000000,,,,,,,,,,,,,,,,,0.000000,,,False,False
02108,1424.000000,1436300.000000,1424.000000,617,0.433287,796.000000,380,416,115,416,347,2.053097,0.834135,1083.000000,539,544,151,544,446,2.750057,0.819853,287.000000,0.696960,-0.014282,True,True
02109,1350.000000,800050.000000,1350.000000,645,0.477778,534.000000,338,196,72,196,163,0.727511,0.831633,815.000000,533,282,95,282,237,0.740681,0.840426,281.000000,0.013170,0.008793,True,True
02110,2020.000000,1370650.000000,2020.000000,701,0.347030,335.000000,214,121,35,121,103,1.673364,0.851240,522.000000,315,207,63,207,168,1.855285,0.811594,187.000000,0.181921,-0.039645,True,True
02111,1917.000000,852100.000000,1917.000000,809,0.422014,1274.000000,779,495,106,495,414,0.897263,0.836364,1815.000000,1119,696,141,696,581,0.947388,0.834770,541.000000,0.050125,-0.001594,True,True
02113,1653.000000,609300.000000,1653.000000,583,0.352692,779.000000,434,345,119,345,282,1.716828,0.817391,1115.000000,617,498,167,498,410,1.954168,0.823293,336.000000,0.237340,0.005902,True,True
02114,3559.000000,688200.000000,3559.000000,1470,0.413037,1241.000000,705,536,160,536,480,0.901255,0.895522,1793.000000,1022,771,232,771,677,1.028523,0.878080,552.000000,0.127267,-0.017442,True,True
02115,3441.000000,754800.000000,3441.000000,1019,0.296135,1529.000000,704,825,255,825,750,0.925745,0.909091,1921.000000,876,1045,326,1045,922,1.075806,0.882297,392.000000,0.150060,-0.026794,True,True
02116,7426.000000,1172600.000000,7426.000000,3249,0.437517,4489.000000,1912,2577,336,2577,1799,1.983245,0.698099,5688.000000,2508,3180,483,3180,2299,1.773569,0.722956,1199.000000,-0.209675,0.024857,True,True
02118,6056.000000,930050.000000,6056.000000,3517,0.580746,4675.000000,1387,3288,485,3288,3119,0.822837,0.948601,6332.000000,2001,4331,642,4331,4087,0.799398,0.943662,1657.000000,-0.023439,-0.004939,True,True
02119,3656.000000,631700.000000,3656.000000,2124,0.580963,2405.000000,946,1459,575,1459,1235,0.939740,0.846470,3123.000000,1205,1918,733,1918,1588,1.204382,0.827946,718.000000,0.264641,-0.018524,True,True
02120,1257.000000,884900.000000,1257.000000,468,0.372315,1144.000000,551,593,230,593,531,0.568269,0.895447,1459.000000,709,750,257,750,668,0.696465,0.890667,315.000000,0.128195,-0.004780,True,True
02121,2946.000000,729050.000000,2946.000000,1729,0.586897,1928.000000,787,1141,541,1141,947,0.871532,0.829974,2331.000000,996,1335,624,1335,1098,0.999222,0.822472,403.000000,0.127690,-0.007502,True,True
02122,4883.000000,701100.000000,4883.000000,3011,0.616629,1902.000000,954,948,371,948,771,7.473958,0.813291,2414.000000,1202,1212,476,1212,976,6.993214,0.805281,512.000000,-0.480744,-0.008011,True,True
02124,8948.000000,731900.000000,8948.000000,6041,0.675123,3344.000000,1517,1827,902,1827,1469,2.238214,0.804050,4159.000000,1871,2288,1125,2288,1826,2.750552,0.798077,815.000000,0.512338,-0.005973,True,True
02125,5706.000000,737550.000000,5706.000000,3357,0.588328,2960.000000,1488,1472,535,1472,1219,2.304732,0.828125,3746.000000,1882,1864,667,1864,1529,3.069435,0.820279,786.000000,0.764704,-0.007846,True,True
02126,3847.000000,625400.000000,3847.000000,2665,0.692748,1391.000000,590,801,396,801,610,1.995446,0.761548,1660.000000,701,959,474,959,723,2.144556,0.753910,269.000000,0.149110,-0.007638,True,True
02127,11305.000000,836700.000000,11305.000000,5812,0.514109,6581.000000,3560,3021,639,3021,2734,1.999337,0.904998,8153.000000,4429,3724,811,3724,3340,2.632447,0.896885,1572.000000,0.633110,-0.008113,True,True
02128,8010.000000,700300.000000,8010.000000,4347,0.542697,4407.000000,2694,1713,576,1713,1464,3.910454,0.854641,5283.000000,3215,2068,704,2068,1741,4.682360,0.841876,876.000000,0.771906,-0.012765,True,True
02129,5312.000000,903750.000000,5312.000000,3648,0.686747,2016.000000,1246,770,279,770,649,3.467355,0.842857,2716.000000,1657,1059,395,1059,859,3.833943,0.811143,700.000000,0.366588,-0.031715,True,True
02130,9322.000000,807550.000000,9322.000000,6356,0.681828,2960.000000,1364,1596,560,1596,1410,1.918952,0.883459,4071.000000,1900,2171,749,2171,1892,1.982456,0.871488,1111.000000,0.063504,-0.011971,True,True
02131,7678.000000,703500.000000,7678.000000,5867,0.764131,2106.000000,1019,1087,501,1087,808,5.834435,0.743330,2783.000000,1313,1470,635,1470,1094,6.183896,0.744218,677.000000,0.349461,0.000887,True,True
02132,8973.000000,741600.000000,8973.000000,7254,0.808425,1017.000000,426,591,271,591,466,3.077315,0.788494,1391.000000,578,813,380,813,619,4.888663,0.761378,374.000000,1.811348,-0.027116,True,True
02133,,,,,,3.000000,2,1,0,1,0,,0.000000,3.000000,2,1,0,1,0,,0.000000,0.000000,,0.000000,False,False
02134,3494.000000,635250.000000,3494.000000,951,0.272181,1782.000000,906,876,312,876,762,1.145614,0.869863,2357.000000,1235,1122,406,1122,939,1.961925,0.836898,575.000000,0.816311,-0.032965,True,True
02135,10419.000000,567100.000000,10419.000000,3913,0.375564,3438.000000,1902,1536,619,1536,1247,2.840658,0.811849,4468.000000,2430,2038,856,2038,1611,2.961437,0.790481,1030.000000,0.120779,-0.021368,True,True
02136,7517.000000,582000.000000,7517.000000,5813,0.773314,1202.000000,534,668,331,668,498,4.878329,0.745509,1565.000000,660,905,457,905,643,8.477037,0.710497,363.000000,3.598708,-0.035012,True,True
02146,1.000000,2319300.000000,1.000000,0,0.000000,,,,,,,,,,,,,,,,,0.000000,,,False,False
02163,,,,,,15.000000,8,7,2,7,7,0.277776,1.000000,17.000000,8,9,2,9,9,0.277776,1.000000,2.000000,0.000000,0.000000,False,False
02199,85.000000,3589800.000000,85.000000,38,0.447059,125.000000,50,75,9,75,70,1.088991,0.933333,128.000000,53,75,9,75,70,1.088991,0.933333,3.000000,0.000000,0.000000,False,False
02201,,,,,,27.000000,0,27,2,27,26,0.437030,0.962963,27.000000,0,27,2,27,26,0.437030,0.962963,0.000000,0.000000,0.000000,False,False
02203,,,,,,5.000000,2,3,2,3,3,0.027590,1.000000,5.000000,2,3,2,3,3,0.027590,1.000000,0.000000,0.000000,0.000000,False,False
02210,1426.000000,1435500.000000,1426.000000,627,0.439691,1335.000000,984,351,83,351,302,2.151983,0.860399,1649.000000,1160,489,142,489,408,1.822146,0.834356,314.000000,-0.329836,-0.026043,True,True
02215,2602.000000,555350.000000,2602.000000,593,0.227902,1386.000000,775,611,179,611,538,1.173668,0.880524,1888.000000,995,893,297,893,764,1.091468,0.855543,502.000000,-0.082201,-0.024981,True,True
02445,9.000000,1657000.000000,9.000000,2,0.222222,,,,,,,,,,,,,,,,,0.000000,,,False,False
02446,10.000000,1103300.000000,10.000000,6,0.600000,,,,,,,,,,,,,,,,,0.000000,,,False,False
02458,1.000000,706200.000000,1.000000,1,1.000000,,,,,,,,,,,,,,,,,0.000000,,,False,False
02467,967.000000,401400.000000,967.000000,541,0.559462,25.000000,9,16,7,16,10,0.568214,0.625000,25.000000,9,16,7,16,10,0.568214,0.625000,0.000000,0.000000,0.000000,False,False
