occupancy_code,description
010,"CONDO MULTI-USE"
012,"VACANT LAND"
013,"RES/COMMERCIAL USE"
019,"RES/EXEMPT USE"
025,"RES/COMM MIXED USE"
026,"RES/COMM MIXED USE"
027,"RES/COMM MIXED USE"
031,"COM MULTI-USE"
101,"SINGLE FAM DWELLING"
102,"RESIDENTIAL CONDO"
103,"MOBILE HOME"
104,"TWO-FAM DWELLING"
105,"THREE-FAM DWELLING"
106,"ADD'L RES IMPROVEMENT"
107,"OTHER RESIDENTIAL"
108,"CONDO PARKING"
109,"MULTIPLE BUILDINGS"
110,"CONDO STORAGE"
111,"APT 4-6 UNITS"
112,"APT 7-30 UNITS"
113,"APT 31-99 UNITS"
115,"CO-OP APARTMENT"
116,"RES PARKING GARAGE"
117,"DAY CARE USE"
118,"ELDERLY HOME"
119,"RES PARKING LOT"
120,"APARTMENT"
121,"ROOMING HOUSE"
122,"ROOMING HOUSE"
123,"RESIDENCE HALL"
124,"DORMITORY"
125,"APT SUBSIDIZED HOUSING"
126,"APT SUBSIDIZED HOUSING"
127,"APT SUBSIDIZED HOUSING"
128,"CONDO APARTMENT"
130,"VACANT LAND"
131,"VACANT LAND"
132,"VACANT LAND"
202,"VACANT LAND"
211,"VACANT LAND"
300,"HOTEL/LODGING"
301,"MOTEL"
303,"PRIV CITY CLUB"
304,"NURSING HOME"
305,"HOSPITAL"
306,"LABORATORY"
307,"VETERINARY HOSPITAL"
309,"MEDICAL CLINIC"
310,"LAUNDRY FACILITY"
311,"LAUNDROMAT"
312,"SELF STORAGE WAREHOUSE"
313,"LUMBER YARD STORAGE"
314,"TRUCK TERMINAL"
315,"ANCILLARY STORAGE"
316,"WAREHOUSE"
317,"WAREHOUSE"
318,"COLD STORAGE WAREHOUSE"
319,"RETAIL/OFFICE"
320,"RETAIL/WHLSALE/SERVICE"
321,"RETAIL STORE"
322,"RETAIL STORE"
323,"SHOPPING CENTER"
324,"SUPERMARKET"
325,"RETAIL STORE"
326,"RESTAURANT/SERVICE"
327,"RESTAURANT/LOUNGE"
328,"FAST FOOD RESTAURANT"
329,"BAR/TAVERN/PUB"
330,"SHOWROOM"
332,"REPAIR GARAGE"
333,"GAS STATION"
335,"CAR WASH"
336,"PARKING GARAGE"
337,"PARKING LOT"
338,"SUBTERRANEAN GARAGE"
339,"PARKING GARAGE"
340,"OFFICE"
341,"BANK BUILDING"
342,"MEDICAL OFFICE"
343,"OFFICE 1-2 STORY"
344,"OFFICE 3-9 STORY"
345,"OFFICE BUILDING"
346,"OFFICE BUILDING"
347,"OFFICE BUILDING"
348,"OFFICE BUILDING"
350,"POSTAL SERVICE"
351,"TRAINING FACILITY"
352,"DAYCARE USE"
353,"SOCIAL CLUB"
354,"MAUSOLEUM"
355,"FUNERAL HOME"
356,"COMM CONDO"
357,"RETAIL CONDO"
358,"OFFICE"
359,"CONDO PARKING"
361,"NIGHT CLUB"
362,"MOVIE THEATER"
363,"DRIVE-IN THEATER"
364,"STAGE THEATER"
365,"AUDITORIUM / SPORT CTR"
366,"FIELDHOUSE / TRACK"
367,"RACE TRACK"
369,"RETAIL USE"
370,"BOWLING ALLEY"
371,"ARENA ICE SKATING"
372,"ARENA ROLLER SKATING"
373,"SWIMMING POOL"
374,"HEALTH CLUB"
375,"TENNIS / RACQUET CLUB"
376,"ATHLETIC FACILITY"
377,"RECREATION BUILDING"
380,"GOLF COURSE"
383,"SWIMMING POOL"
384,"BOAT HOUSE / MARINA"
385,"TAXABLE BLDG ONLY"
386,"CAMPGROUND FACILITY"
