offense_code,offense_name
1001,"FORGERY / COUNTERFEITING"
1002,"FORGERY OR UTTERING"
1101,"PASSING WORTHLESS CHECK"
1102,"FRAUD - FALSE PRETENSE / SCHEME"
1103,"CONFIDENCE GAMES"
1105,"FRAUDS - ALL OTHER"
1106,"FRAUD - CREDIT CARD / ATM FRAUD"
1107,"FRAUD - IMPERSONATION"
1108,"FRAUD - WELFARE"
1109,"FRAUD - WIRE"
111,"MURDER, NON-NEGLIGIENT MANSLAUGHTER"
112,"KILLING OF FELON BY POLICE"
113,"KILLING OF FELON BY CITIZEN"
114,"KILLING OF POLICE BY FELON"
1201,"EMBEZZLEMENT"
121,"MANSLAUGHTER - VEHICLE - NEGLIGENCE"
122,"MANSLAUGHTER - TRAIN ETC. VICTIM NON-NEGLIGENCE"
123,"MANSLAUGHTER - NON-VEHICLE - NEGLIGENCE"
124,"MANSLAUGHTER - VEHICLE - NEGLIGENCE OF VICTIM"
125,"MANSLAUGHTER - TRAIN ETC. VICTIM NEGLIGENCE"
1300,"STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING"
1301,"PROPERTY - BUYING STOLEN"
1302,"PROPERTY - RECEIVING STOLEN"
1304,"PROPERTY - STOLEN THEN RECOVERED"
1401,"WILFUL & MAL. DESTRUCTION OF PROPERTY W/ARREST"
1402,"VANDALISM"
1415,"GRAFFITI"
1501,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC"
1502,"WEAPON - FIREARM - SALE / TRAFFICKING"
1503,"WEAPON - OTHER - CARRYING / POSSESSING, ETC"
1504,"WEAPON - OTHER - OTHER VIOLATION"
1510,"WEAPON - FIREARM - OTHER VIOLATION"
1601,"PROSTITUTION"
1602,"PROSTITUTION - SOLICITING"
1603,"PROSTITUTION - ASSISTING OR PROMOTING"
1605,"PROSTITUTION - COMMON NIGHTWALKER"
1607,"PROSTITUTION/VICE - OTHER"
1610,"HUMAN TRAFFICKING - COMMERCIAL SEX ACTS"
1620,"HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE"
1702,"INDECENT ASSAULT AND BATTERY"
1703,"INDECENT EXPOSURE / LEWD AND LASCIVIOUS"
1704,"STATUTORY RAPE"
1710,"LEWD & LACIVIOUS SPEECH & BEHAVIOR"
1711,"OPEN & GROSS LEWDNESS"
1720,"SEX OFFENSE - OTHER"
1721,"FAILURE TO REGISTER AS A SEX OFFENDER"
1723,"SEARCH WARRANT - RAPE INVESTIGATION"
1725,"INDECENT A&B ON PERSON 14 AND OVER"
1726,"INDECENT A&B MENTALLY RETARDED PERSON UNDER 14"
1727,"INDECENT A&B MENTALLY RETARDED PERSON 14 AND OVER"
1730,"SEXUAL ASSAULT INVESTIGATION"
1731,"INCEST"
1805,"DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS"
1806,"DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS"
1807,"DRUGS - CLASS D TRAFFICKING OVER 50 GRAMS"
1810,"DRUGS - SALE / MANUFACTURING"
1815,"DRUGS - POSSESSION"
1825,"DRUGS - POSSESSION OF DRUG PARAPHANALIA"
1830,"DRUGS - SICK ASSIST - HEROIN"
1831,"DRUGS - SICK ASSIST - OTHER NARCOTIC"
1832,"DRUGS - SICK ASSIST - OTHER HARMFUL DRUG"
1840,"DRUGS - TRAFFICKING IN HEROIN"
1841,"DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP"
1842,"DRUGS - POSS CLASS A - HEROIN, ETC."
1843,"DRUGS - PRESENT AT HEROIN"
1844,"DRUGS - POSS CLASS C"
1845,"DRUGS - POSS CLASS D"
1846,"DRUGS - POSS CLASS E"
1847,"DRUGS - TRAFFICKING IN COCAINE"
1848,"DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP"
1849,"DRUGS - POSS CLASS B - COCAINE, ETC."
1850,"DRUGS - POSS CLASS E - INTENT TO MFR DIST DISP"
1855,"DRUGS - POSS CLASS C - INTENT TO MFR DIST DISP"
1858,"DRUGS - POSS  CLASS C"
1863,"DRUGS - POSS CLASS D - MARIJUANA, ETC."
1864,"DRUGS - POSS CLASS D - INTENT MFR DIST DISP"
1866,"DRUGS - POSS CLASS E INTENT TO MF DIST DISP"
1868,"DRUGS - POSS. HYPODERMIC NEEDLE"
1870,"DRUGS - CONSP TO VIOL CONTROLLED SUBSTANCE"
1873,"DRUGS - UTTERING PRESC CONT SUBSTANCE"
1874,"DRUGS - OTHER"
1875,"DRUGS - SICK ASSIST - METH"
1901,"GAMBLING - BETTING / WAGERING"
1902,"GAMBLING - OPERATING/PROMOTING/ASSISTING"
1903,"GAMBLING - EQUIP VIOLATIONS"
1904,"GAMBLING - SPORTS TAMPERING"
1921,"GAMING OFFENSE"
2003,"CHILD ENDANGERMENT (NO ASSAULT)"
2004,"CHILD ABANDONMENT (NO ASSAULT)"
2005,"CHILD ENDANGERMENT"
2006,"VIOL. OF RESTRAINING ORDER W ARREST"
2007,"VIOL. OF RESTRAINING ORDER W NO ARREST"
2010,"HOME INVASION"
2101,"OPERATING UNDER THE INFLUENCE ALCOHOL"
2102,"OPERATING UNDER THE INFLUENCE DRUGS"
211,"RAPE - FEMALE - FORCE"
212,"RAPE - MALE - FORCE"
